converted,customer_segment,age,related_customers,family_size,initial_fee_level,credit_account_id,gender,branch
0,13,22.0,1,0,14.5,0,male,Helsinki
1,11,38.0,1,0,142.5666,1,female,Tampere
1,13,26.0,0,0,15.85,0,female,Helsinki
1,11,35.0,1,0,106.2,1,female,Helsinki
0,13,35.0,0,0,16.1,0,male,Helsinki
0,13,31.566655496073864,0,0,16.9166,0,male,Turku
0,11,54.0,0,0,103.725,1,male,Helsinki
0,13,2.0,3,1,42.15,0,male,Helsinki
1,13,27.0,0,2,22.2666,0,female,Helsinki
1,12,14.0,1,0,60.1416,0,female,Tampere
1,13,4.0,1,1,33.4,1,female,Helsinki
1,11,58.0,0,0,53.1,1,female,Helsinki
0,13,20.0,0,0,16.1,0,male,Helsinki
0,13,39.0,1,5,62.55,0,male,Helsinki
0,13,14.0,0,0,15.7084,0,female,Helsinki
1,12,55.0,0,0,32.0,0,female,Helsinki
0,13,2.0,4,1,58.25,0,male,Turku
1,12,29.386667897838493,0,0,26.0,0,male,Helsinki
0,13,31.0,1,0,36.0,0,female,Helsinki
1,13,19.958636078283448,0,0,14.45,0,female,Tampere
0,12,35.0,0,0,52.0,0,male,Helsinki
1,12,34.0,0,0,26.0,1,male,Helsinki
1,13,15.0,0,0,16.0584,0,female,Turku
1,11,28.0,0,0,71.0,1,male,Helsinki
0,13,8.0,3,1,42.15,0,female,Helsinki
1,13,38.0,1,5,62.775,0,female,Helsinki
0,13,27.95304695611773,0,0,14.45,0,male,Tampere
0,11,19.0,3,2,526.0,1,male,Helsinki
1,13,23.581554709004834,0,0,15.7584,0,female,Turku
0,13,29.514671258164427,0,0,15.7916,0,male,Helsinki
0,11,40.0,0,0,55.4416,0,male,Tampere
1,11,31.382512392450806,1,0,293.0416,1,female,Tampere
1,13,23.583631835108903,0,0,15.5,0,female,Turku
0,12,66.0,0,0,21.0,0,male,Helsinki
0,11,28.0,1,0,164.3416,0,male,Tampere
0,11,42.0,1,0,104.0,0,male,Helsinki
1,13,19.873347520797637,0,0,14.4584,0,male,Tampere
